Word,Frequency
"fascinating,",1
heartwarming,1
vendors.,1
SONIPAT,1
GHEWAR,1
TRAIL,1
sweet.,1
#sonipat,1
#haryana,1
#indiansweet,1
#rakshabandhan,1
